""	"reads.in"	"reads.out"
"16724-515rcbc0_S1_L001_R1_cut.fastq.gz"	54319	49280
"16725-515rcbc1_S2_L001_R1_cut.fastq.gz"	10904	9929
"16726-515rcbc2_S3_L001_R1_cut.fastq.gz"	17964	16071
"16727-515rcbc3_S4_L001_R1_cut.fastq.gz"	19345	16810
"16728-515rcbc4_S5_L001_R1_cut.fastq.gz"	8397	6553
"16729-515rcbc5_S6_L001_R1_cut.fastq.gz"	26277	23331
"16730-515rcbc6_S7_L001_R1_cut.fastq.gz"	14741	12460
"16731-515rcbc7_S8_L001_R1_cut.fastq.gz"	26596	25047
"16732-515rcbc8_S9_L001_R1_cut.fastq.gz"	24548	22615
"16733-515rcbc9_S10_L001_R1_cut.fastq.gz"	29488	27470
"16734-515rcbc10_S11_L001_R1_cut.fastq.gz"	15886	14033
"16735-515rcbc11_S12_L001_R1_cut.fastq.gz"	25309	23209
"16736-515rcbc12_S13_L001_R1_cut.fastq.gz"	16674	14664
"16737-515rcbc13_S14_L001_R1_cut.fastq.gz"	10219	9118
"16738-515rcbc14_S15_L001_R1_cut.fastq.gz"	32583	30326
"16739-515rcbc15_S16_L001_R1_cut.fastq.gz"	32491	29334
"16740-515rcbc16_S17_L001_R1_cut.fastq.gz"	31344	28828
"16741-515rcbc17_S18_L001_R1_cut.fastq.gz"	33814	31557
"16742-515rcbc18_S19_L001_R1_cut.fastq.gz"	23656	21205
"16743-515rcbc19_S20_L001_R1_cut.fastq.gz"	40283	35735
"16744-515rcbc20_S21_L001_R1_cut.fastq.gz"	35435	33558
"16745-515rcbc21_S22_L001_R1_cut.fastq.gz"	33408	31010
"16746-515rcbc22_S23_L001_R1_cut.fastq.gz"	19382	17805
"16747-515rcbc23_S24_L001_R1_cut.fastq.gz"	12068	11075
"16748-515rcbc24_S25_L001_R1_cut.fastq.gz"	18151	16334
"16749-515rcbc25_S26_L001_R1_cut.fastq.gz"	27301	26319
"16750-515rcbc26_S27_L001_R1_cut.fastq.gz"	22555	16954
"16751-515rcbc27_S28_L001_R1_cut.fastq.gz"	19989	16780
"16752-515rcbc28_S29_L001_R1_cut.fastq.gz"	30715	26695
"16753-515rcbc29_S30_L001_R1_cut.fastq.gz"	10088	7917
"16754-515rcbc30_S31_L001_R1_cut.fastq.gz"	24592	22177
"16755-515rcbc31_S32_L001_R1_cut.fastq.gz"	15284	14264
"16756-515rcbc32_S33_L001_R1_cut.fastq.gz"	11799	11444
"16757-515rcbc33_S34_L001_R1_cut.fastq.gz"	15218	12298
"16758-515rcbc34_S35_L001_R1_cut.fastq.gz"	23058	21348
"16759-515rcbc35_S36_L001_R1_cut.fastq.gz"	8523	4951
"16760-515rcbc36_S37_L001_R1_cut.fastq.gz"	29857	26541
"16761-515rcbc37_S38_L001_R1_cut.fastq.gz"	7266	4133
"16763-515rcbc39_S39_L001_R1_cut.fastq.gz"	6059	4932
"16765-515rcbc41_S40_L001_R1_cut.fastq.gz"	16419	14952
"16766-515rcbc42_S41_L001_R1_cut.fastq.gz"	24164	20571
"16767-515rcbc43_S42_L001_R1_cut.fastq.gz"	27499	19679
"16768-515rcbc44_S43_L001_R1_cut.fastq.gz"	11758	10436
"16769-515rcbc45_S44_L001_R1_cut.fastq.gz"	4666	2184
"16770-515rcbc46_S45_L001_R1_cut.fastq.gz"	12469	10974
"16771-515rcbc47_S46_L001_R1_cut.fastq.gz"	10069	8693
"16772-515rcbc48_S47_L001_R1_cut.fastq.gz"	4276	1445
"16773-515rcbc49_S48_L001_R1_cut.fastq.gz"	23667	16671
"16774-515rcbc50_S49_L001_R1_cut.fastq.gz"	13056	10855
"16775-515rcbc51_S50_L001_R1_cut.fastq.gz"	5610	4874
"16776-515rcbc52_S51_L001_R1_cut.fastq.gz"	10696	6574
"16777-515rcbc53_S52_L001_R1_cut.fastq.gz"	4259	3712
"16779-515rcbc57_S56_L001_R1_cut.fastq.gz"	16769	15574
