""	"reads.in"	"reads.out"
"16818-515rcbc94_S88_L001_R1_cut.fastq.gz"	1016	104
"16819-515rcbc95_S89_L001_R1_cut.fastq.gz"	4479	2466
"16820-515rcbc96_S90_L001_R1_cut.fastq.gz"	451	117
"16821-515rcbc97_S91_L001_R1_cut.fastq.gz"	9139	5165
"16822-515rcbc98_S92_L001_R1_cut.fastq.gz"	562	63
"16823-515rcbc99_S93_L001_R1_cut.fastq.gz"	10799	7664
"16824-515rcbc100_S94_L001_R1_cut.fastq.gz"	5650	2991
"16826-515rcbc102_S95_L001_R1_cut.fastq.gz"	7335	4489
"16827-515rcbc103_S96_L001_R1_cut.fastq.gz"	9566	6031
"16828-515rcbc104_S97_L001_R1_cut.fastq.gz"	10479	9982
"17786-515rcbc111_S104_L001_R1_cut.fastq.gz"	5308	2341
"17787-515rcbc54_S53_L001_R1_cut.fastq.gz"	9797	6348
"17788-515rcbc55_S54_L001_R1_cut.fastq.gz"	16624	12958
"17789-515rcbc58_S57_L001_R1_cut.fastq.gz"	2279	1597
"17790-515rcbc59_S58_L001_R1_cut.fastq.gz"	15803	14263
"17791-515rcbc116_S109_L001_R1_cut.fastq.gz"	4575	956
"17792-515rcbc117_S110_L001_R1_cut.fastq.gz"	584	138
"17793-515rcbc118_S111_L001_R1_cut.fastq.gz"	2401	522
"17794-515rcbc119_S112_L001_R1_cut.fastq.gz"	4836	1732
"17795-515rcbc120_S113_L001_R1_cut.fastq.gz"	2069	1127
"17796-515rcbc121_S114_L001_R1_cut.fastq.gz"	3504	2535
"17797-515rcbc122_S115_L001_R1_cut.fastq.gz"	66	9
"17798-515rcbc123_S116_L001_R1_cut.fastq.gz"	11460	8250
"17799-515rcbc124_S117_L001_R1_cut.fastq.gz"	5814	5528
"17800-515rcbc125_S118_L001_R1_cut.fastq.gz"	5043	3181
"17801-515rcbc126_S119_L001_R1_cut.fastq.gz"	3654	2168
"17802-515rcbc127_S120_L001_R1_cut.fastq.gz"	5827	3055
"17803-515rcbc128_S121_L001_R1_cut.fastq.gz"	7475	3156
"17804-515rcbc129_S122_L001_R1_cut.fastq.gz"	5490	3113
"17805-515rcbc130_S123_L001_R1_cut.fastq.gz"	1721	530
