""	"input"	"filtered"	"denoised"	"merged"	"tabled"
"16724"	38750	34753	34327	30283	30283
"16725"	8034	6986	6872	6771	6771
"16726"	12761	11290	11132	11006	11006
"16727"	15095	11939	11659	11254	11254
"16728"	6406	4480	4424	4375	4375
"16729"	19004	16274	15879	15101	15101
"16730"	11044	8582	8336	7973	7973
"16731"	19278	17870	17618	17080	17080
"16732"	18018	15889	15715	15582	15582
"16733"	21180	18959	18842	18777	18777
"16734"	11496	9613	9502	9421	9421
"16735"	18653	16233	16059	15957	15957
"16736"	12293	10103	10066	9994	9994
"16737"	7155	6611	6477	6403	6403
"16738"	23420	21317	20280	17929	17929
"16739"	24426	20802	20200	18745	18745
"16740"	22602	20497	19819	18248	18248
"16741"	24294	22041	21782	21117	21117
"16742"	16958	15115	14380	12774	12774
"16743"	29062	25262	24760	22114	22114
"16744"	25842	23957	23257	21666	21666
"16745"	24479	21895	21217	19572	19572
"16746"	14406	12746	12673	12457	12457
"16747"	8486	7648	7572	7355	7355
"16748"	13160	11558	11167	9952	9952
"16749"	19827	18690	18604	18444	18444
"16750"	18341	12203	11711	10498	10498
"16751"	14234	11453	11032	10263	10263
"16752"	23164	19304	18448	15798	15798
"16753"	7583	5533	5447	5371	5371
"16754"	18098	15549	15448	15372	15372
"16755"	11690	10469	10354	10256	10256
"16756"	7908	7783	7730	7642	7642
"16757"	12127	8554	8466	8407	8407
"16758"	16642	15173	14813	14126	14126
"16759"	6602	3258	3204	3161	3161
"16760"	22079	19266	18846	17688	17688
"16761"	6731	2564	2489	2447	2447
"16763"	4104	3206	3162	3113	3113
"16765"	11623	10205	10131	10050	10050
"16766"	17118	14175	14096	13998	13998
"16767"	20230	13969	13913	13786	13786
"16768"	8521	7251	7226	7182	7182
"16769"	3841	1355	1288	1263	1263
"16770"	9059	7728	7638	7560	7560
"16771"	7192	5957	5902	5873	5873
"16772"	3189	822	745	727	727
"16773"	17146	11693	11576	11334	11334
"16774"	9291	7466	7414	7359	7359
"16775"	4457	3511	3483	3435	3435
"16776"	8463	4255	4225	4188	4188
"16777"	3125	2598	2588	2572	2572
"16779"	12116	10987	10948	10872	10872
"16780"	3306	1373	1322	1291	1291
"16781"	3798	1973	1919	1913	1913
"16782"	2630	468	451	448	448
"16783"	4282	3223	3198	3161	3161
"16784"	3700	1457	1424	1421	1421
"16785"	4678	1246	1169	1164	1164
"16786"	2612	1258	1197	1173	1173
"16787"	14978	12762	12250	11124	11124
"16788"	5910	5522	5514	5491	5491
"16789"	5806	2793	2718	2697	2697
"16790"	2289	1168	1080	1038	1038
"16791"	3009	1281	1227	1211	1211
"16792"	3350	916	873	849	849
"16793"	8324	6426	6349	5870	5870
"16794"	983	456	438	412	412
"16795"	1080	215	184	169	169
"16797"	1040	152	134	132	132
"16798"	564	100	81	76	76
"16799"	3248	753	703	698	698
"16800"	7602	6359	6318	6290	6290
"16801"	913	282	266	264	264
"16802"	920	120	108	106	106
"16803"	5095	2186	2094	2071	2071
"16804"	5452	1477	1391	1374	1374
"16807"	3409	1150	1113	1101	1101
"16808"	1240	65	53	53	53
"16809"	1280	178	167	164	164
"16810"	2492	606	581	571	571
"16811"	936	134	114	114	114
"16812"	3499	2103	2057	2041	2041
"16815"	2290	753	722	717	717
"16816"	1522	348	337	317	317
