""	"input"	"filtered"	"denoised"	"merged"	"tabled"
"16724"	51621	6544	6397	5323	5323
"16725"	10608	1259	1165	1096	1096
"16726"	18092	2202	2061	1929	1929
"16727"	20506	2252	2087	1825	1825
"16728"	9006	834	804	760	760
"16729"	25812	3018	2773	2415	2415
"16730"	15541	1639	1487	1317	1317
"16731"	25928	3398	3278	2934	2934
"16732"	24673	2862	2707	2542	2542
"16733"	28964	3566	3480	3466	3466
"16734"	15756	1889	1781	1583	1583
"16735"	25025	3004	2900	2811	2811
"16736"	17390	2095	2005	1897	1897
"16737"	8715	1210	1127	1100	1100
"16738"	30995	4008	3455	2837	2837
"16739"	31565	3939	3605	2639	2639
"16740"	30481	3917	3592	3043	3043
"16741"	33448	4196	3927	3496	3496
"16742"	22689	2835	2549	1993	1993
"16743"	39718	4719	4501	3377	3377
"16744"	35149	4641	4328	3837	3837
"16745"	33084	4213	3805	3056	3056
"16746"	19906	2475	2336	1805	1805
"16747"	11148	1391	1264	1094	1094
"16748"	17610	2254	2044	1529	1529
"16749"	27181	3592	3524	3408	3408
"16750"	24500	2480	2203	1605	1605
"16751"	18658	2141	1914	1616	1616
"16752"	32601	3843	3358	2278	2278
"16753"	11341	1080	978	931	931
"16754"	24423	3169	3099	3000	3000
"16755"	14881	1888	1763	1686	1686
"16756"	8214	1287	1164	1121	1121
"16757"	16594	1750	1646	1577	1577
"16758"	22628	2863	2672	2294	2294
"16759"	9331	680	608	559	559
"16760"	31271	3936	3705	3245	3245
"16761"	8808	506	442	438	438
"16763"	6094	642	603	577	577
"16765"	15650	1976	1924	1882	1882
"16766"	23957	2824	2708	2649	2649
"16767"	27552	2901	2861	2758	2758
"16768"	11931	1391	1350	1295	1295
"16769"	5929	276	204	203	203
"16770"	12457	1503	1456	1392	1392
"16771"	9777	1171	1125	1092	1092
"16772"	4898	217	178	162	162
"16773"	22960	2467	2330	2166	2166
"16774"	12883	1484	1392	1325	1325
"16775"	5340	623	597	567	567
"16776"	11043	820	751	662	662
"16777"	4293	515	479	438	438
"16779"	16323	2058	2022	1966	1966
"16780"	4741	287	235	201	201
"16781"	5796	418	365	326	326
"16782"	3692	138	128	122	122
"16783"	6380	612	586	576	576
"16784"	5143	289	245	242	242
"16785"	6866	292	232	229	229
"16786"	3557	261	229	222	222
"16787"	20191	2482	2198	1707	1707
"16788"	7501	1005	979	960	960
