""	"reads.in"	"reads.out"
"16724-515rcbc0_S1_L001_R1_cut.fastq.gz"	51621	6544
"16725-515rcbc1_S2_L001_R1_cut.fastq.gz"	10608	1259
"16726-515rcbc2_S3_L001_R1_cut.fastq.gz"	18092	2202
"16727-515rcbc3_S4_L001_R1_cut.fastq.gz"	20506	2252
"16728-515rcbc4_S5_L001_R1_cut.fastq.gz"	9006	834
"16729-515rcbc5_S6_L001_R1_cut.fastq.gz"	25812	3018
"16730-515rcbc6_S7_L001_R1_cut.fastq.gz"	15541	1639
"16731-515rcbc7_S8_L001_R1_cut.fastq.gz"	25928	3398
"16732-515rcbc8_S9_L001_R1_cut.fastq.gz"	24673	2862
"16733-515rcbc9_S10_L001_R1_cut.fastq.gz"	28964	3566
"16734-515rcbc10_S11_L001_R1_cut.fastq.gz"	15756	1889
"16735-515rcbc11_S12_L001_R1_cut.fastq.gz"	25025	3004
"16736-515rcbc12_S13_L001_R1_cut.fastq.gz"	17390	2095
"16737-515rcbc13_S14_L001_R1_cut.fastq.gz"	8715	1210
"16738-515rcbc14_S15_L001_R1_cut.fastq.gz"	30995	4008
"16739-515rcbc15_S16_L001_R1_cut.fastq.gz"	31565	3939
"16740-515rcbc16_S17_L001_R1_cut.fastq.gz"	30481	3917
"16741-515rcbc17_S18_L001_R1_cut.fastq.gz"	33448	4196
"16742-515rcbc18_S19_L001_R1_cut.fastq.gz"	22689	2835
"16743-515rcbc19_S20_L001_R1_cut.fastq.gz"	39718	4719
"16744-515rcbc20_S21_L001_R1_cut.fastq.gz"	35149	4641
"16745-515rcbc21_S22_L001_R1_cut.fastq.gz"	33084	4213
"16746-515rcbc22_S23_L001_R1_cut.fastq.gz"	19906	2475
"16747-515rcbc23_S24_L001_R1_cut.fastq.gz"	11148	1391
"16748-515rcbc24_S25_L001_R1_cut.fastq.gz"	17610	2254
"16749-515rcbc25_S26_L001_R1_cut.fastq.gz"	27181	3592
"16750-515rcbc26_S27_L001_R1_cut.fastq.gz"	24500	2480
"16751-515rcbc27_S28_L001_R1_cut.fastq.gz"	18658	2141
"16752-515rcbc28_S29_L001_R1_cut.fastq.gz"	32601	3843
"16753-515rcbc29_S30_L001_R1_cut.fastq.gz"	11341	1080
"16754-515rcbc30_S31_L001_R1_cut.fastq.gz"	24423	3169
"16755-515rcbc31_S32_L001_R1_cut.fastq.gz"	14881	1888
"16756-515rcbc32_S33_L001_R1_cut.fastq.gz"	8214	1287
"16757-515rcbc33_S34_L001_R1_cut.fastq.gz"	16594	1750
"16758-515rcbc34_S35_L001_R1_cut.fastq.gz"	22628	2863
"16759-515rcbc35_S36_L001_R1_cut.fastq.gz"	9331	680
"16760-515rcbc36_S37_L001_R1_cut.fastq.gz"	31271	3936
"16761-515rcbc37_S38_L001_R1_cut.fastq.gz"	8808	506
"16763-515rcbc39_S39_L001_R1_cut.fastq.gz"	6094	642
