""	"reads.in"	"reads.out"
"16765-515rcbc41_S40_L001_R1_cut.fastq.gz"	15650	1976
"16766-515rcbc42_S41_L001_R1_cut.fastq.gz"	23957	2824
"16767-515rcbc43_S42_L001_R1_cut.fastq.gz"	27552	2901
"16768-515rcbc44_S43_L001_R1_cut.fastq.gz"	11931	1391
"16769-515rcbc45_S44_L001_R1_cut.fastq.gz"	5929	276
"16770-515rcbc46_S45_L001_R1_cut.fastq.gz"	12457	1503
"16771-515rcbc47_S46_L001_R1_cut.fastq.gz"	9777	1171
"16772-515rcbc48_S47_L001_R1_cut.fastq.gz"	4898	217
"16773-515rcbc49_S48_L001_R1_cut.fastq.gz"	22960	2467
"16774-515rcbc50_S49_L001_R1_cut.fastq.gz"	12883	1484
"16775-515rcbc51_S50_L001_R1_cut.fastq.gz"	5340	623
"16776-515rcbc52_S51_L001_R1_cut.fastq.gz"	11043	820
"16777-515rcbc53_S52_L001_R1_cut.fastq.gz"	4293	515
"16779-515rcbc57_S56_L001_R1_cut.fastq.gz"	16323	2058
"16780-515rcbc112_S105_L001_R1_cut.fastq.gz"	4741	287
"16781-515rcbc113_S106_L001_R1_cut.fastq.gz"	5796	418
"16782-515rcbc114_S107_L001_R1_cut.fastq.gz"	3692	138
"16783-515rcbc115_S108_L001_R1_cut.fastq.gz"	6380	612
"16784-515rcbc60_S59_L001_R1_cut.fastq.gz"	5143	289
"16785-515rcbc61_S60_L001_R1_cut.fastq.gz"	6866	292
"16786-515rcbc62_S61_L001_R1_cut.fastq.gz"	3557	261
"16787-515rcbc63_S62_L001_R1_cut.fastq.gz"	20191	2482
"16788-515rcbc64_S63_L001_R1_cut.fastq.gz"	7501	1005
"16789-515rcbc65_S64_L001_R1_cut.fastq.gz"	8856	500
"16790-515rcbc66_S65_L001_R1_cut.fastq.gz"	3276	222
"16791-515rcbc67_S66_L001_R1_cut.fastq.gz"	4261	247
"16792-515rcbc68_S67_L001_R1_cut.fastq.gz"	4427	200
"16793-515rcbc69_S68_L001_R1_cut.fastq.gz"	11591	1215
"16794-515rcbc70_S69_L001_R1_cut.fastq.gz"	1526	77
"16795-515rcbc71_S70_L001_R1_cut.fastq.gz"	1801	52
"16797-515rcbc73_S71_L001_R1_cut.fastq.gz"	1490	37
"16798-515rcbc74_S72_L001_R1_cut.fastq.gz"	635	25
"16799-515rcbc75_S73_L001_R1_cut.fastq.gz"	4304	144
"16800-515rcbc76_S74_L001_R1_cut.fastq.gz"	9635	1187
"16801-515rcbc77_S75_L001_R1_cut.fastq.gz"	1481	69
"16802-515rcbc78_S76_L001_R1_cut.fastq.gz"	1233	27
"16803-515rcbc79_S77_L001_R1_cut.fastq.gz"	7357	491
"16804-515rcbc80_S78_L001_R1_cut.fastq.gz"	6922	316
"16807-515rcbc83_S79_L001_R1_cut.fastq.gz"	4742	261
"16808-515rcbc84_S80_L001_R1_cut.fastq.gz"	1515	14
"16809-515rcbc85_S81_L001_R1_cut.fastq.gz"	1968	41
"16810-515rcbc86_S82_L001_R1_cut.fastq.gz"	3337	137
"16811-515rcbc87_S83_L001_R1_cut.fastq.gz"	1242	18
"16812-515rcbc88_S84_L001_R1_cut.fastq.gz"	5874	457
"16815-515rcbc91_S85_L001_R1_cut.fastq.gz"	3498	146
"16816-515rcbc92_S86_L001_R1_cut.fastq.gz"	2271	81
"16817-515rcbc93_S87_L001_R1_cut.fastq.gz"	7474	531
"16818-515rcbc94_S88_L001_R1_cut.fastq.gz"	1191	23
"16819-515rcbc95_S89_L001_R1_cut.fastq.gz"	6034	498
"16820-515rcbc96_S90_L001_R1_cut.fastq.gz"	701	28
"16821-515rcbc97_S91_L001_R1_cut.fastq.gz"	11958	1014
"16822-515rcbc98_S92_L001_R1_cut.fastq.gz"	770	11
"16823-515rcbc99_S93_L001_R1_cut.fastq.gz"	14943	1559
"16824-515rcbc100_S94_L001_R1_cut.fastq.gz"	7910	584
"16826-515rcbc102_S95_L001_R1_cut.fastq.gz"	10158	938
"16827-515rcbc103_S96_L001_R1_cut.fastq.gz"	13271	1117
"16828-515rcbc104_S97_L001_R1_cut.fastq.gz"	13608	1823
"17786-515rcbc111_S104_L001_R1_cut.fastq.gz"	7796	495
"17787-515rcbc54_S53_L001_R1_cut.fastq.gz"	13760	1270
"17788-515rcbc55_S54_L001_R1_cut.fastq.gz"	23515	2520
"17789-515rcbc58_S57_L001_R1_cut.fastq.gz"	3307	312
"17790-515rcbc59_S58_L001_R1_cut.fastq.gz"	20967	2725
"17791-515rcbc116_S109_L001_R1_cut.fastq.gz"	5873	195
"17792-515rcbc117_S110_L001_R1_cut.fastq.gz"	849	24
"17793-515rcbc118_S111_L001_R1_cut.fastq.gz"	3123	110
"17794-515rcbc119_S112_L001_R1_cut.fastq.gz"	7321	401
"17795-515rcbc120_S113_L001_R1_cut.fastq.gz"	2665	224
"17796-515rcbc121_S114_L001_R1_cut.fastq.gz"	4949	507
"17798-515rcbc123_S116_L001_R1_cut.fastq.gz"	16193	1577
"17799-515rcbc124_S117_L001_R1_cut.fastq.gz"	7347	1091
"17800-515rcbc125_S118_L001_R1_cut.fastq.gz"	7076	630
"17801-515rcbc126_S119_L001_R1_cut.fastq.gz"	5556	443
"17802-515rcbc127_S120_L001_R1_cut.fastq.gz"	8151	624
"17803-515rcbc128_S121_L001_R1_cut.fastq.gz"	10291	667
"17804-515rcbc129_S122_L001_R1_cut.fastq.gz"	7394	582
"17805-515rcbc130_S123_L001_R1_cut.fastq.gz"	2503	115
"17806-515rcbc131_S124_L001_R1_cut.fastq.gz"	6317	899
"17807-515rcbc132_S125_L001_R1_cut.fastq.gz"	713	35
"17809-515rcbc134_S126_L001_R1_cut.fastq.gz"	3729	146
"17810-515rcbc135_S127_L001_R1_cut.fastq.gz"	2841	138
"17811-515rcbc136_S128_L001_R1_cut.fastq.gz"	233	13
"17812-515rcbc137_S129_L001_R1_cut.fastq.gz"	7529	454
"17813-515rcbc138_S130_L001_R1_cut.fastq.gz"	5977	237
"17814-515rcbc105_S98_L001_R1_cut.fastq.gz"	4180	241
"17815-515rcbc106_S99_L001_R1_cut.fastq.gz"	9954	697
"17816-515rcbc107_S100_L001_R1_cut.fastq.gz"	13415	1209
"17819-515rcbc110_S103_L001_R1_cut.fastq.gz"	3784	216
"17820-515rcbc139_S131_L001_R1_cut.fastq.gz"	5235	126
"17821-515rcbc140_S132_L001_R1_cut.fastq.gz"	9464	440
"17822-515rcbc141_S133_L001_R1_cut.fastq.gz"	2484	102
"17823-515rcbc142_S134_L001_R1_cut.fastq.gz"	6362	789
"17824-515rcbc143_S135_L001_R1_cut.fastq.gz"	3881	158
"17825-515rcbc144_S136_L001_R1_cut.fastq.gz"	7183	250
"17826-515rcbc145_S137_L001_R1_cut.fastq.gz"	1997	59
"17827-515rcbc146_S138_L001_R1_cut.fastq.gz"	7175	442
"17828-515rcbc147_S139_L001_R1_cut.fastq.gz"	6846	379
"17829-515rcbc148_S140_L001_R1_cut.fastq.gz"	7630	537
"17830-515rcbc149_S141_L001_R1_cut.fastq.gz"	20019	2400
"17831-515rcbc150_S142_L001_R1_cut.fastq.gz"	3035	154
"17832-515rcbc151_S143_L001_R1_cut.fastq.gz"	6709	604
"17833-515rcbc152_S144_L001_R1_cut.fastq.gz"	8624	705
"17834-515rcbc153_S145_L001_R1_cut.fastq.gz"	4490	178
"17835-515rcbc154_S146_L001_R1_cut.fastq.gz"	5763	530
"17836-515rcbc155_S147_L001_R1_cut.fastq.gz"	2431	119
"17838-515rcbc157_S149_L001_R1_cut.fastq.gz"	3905	221
"17839-515rcbc158_S150_L001_R1_cut.fastq.gz"	4746	144
"17840-515rcbc159_S151_L001_R1_cut.fastq.gz"	2220	58
"17841-515rcbc160_S152_L001_R1_cut.fastq.gz"	14532	1493
"17842-515rcbc161_S153_L001_R1_cut.fastq.gz"	4442	202
"17843-515rcbc162_S154_L001_R1_cut.fastq.gz"	3394	145
"17844-515rcbc163_S155_L001_R1_cut.fastq.gz"	12857	1402
"17845-515rcbc164_S156_L001_R1_cut.fastq.gz"	21459	2320
"17846-515rcbc165_S157_L001_R1_cut.fastq.gz"	3067	168
"17847-515rcbc166_S158_L001_R1_cut.fastq.gz"	13380	1601
"17848-515rcbc167_S159_L001_R1_cut.fastq.gz"	3583	203
"17849-515rcbc168_S160_L001_R1_cut.fastq.gz"	26994	3533
"17850-515rcbc169_S161_L001_R1_cut.fastq.gz"	3648	335
"17851-515rcbc170_S162_L001_R1_cut.fastq.gz"	4871	409
"17852-515rcbc171_S163_L001_R1_cut.fastq.gz"	5897	584
"17853-515rcbc172_S164_L001_R1_cut.fastq.gz"	33318	4351
"17854-515rcbc173_S165_L001_R1_cut.fastq.gz"	6916	492
"17855-515rcbc174_S166_L001_R1_cut.fastq.gz"	9351	614
"17856-515rcbc175_S167_L001_R1_cut.fastq.gz"	19567	1248
"17857-515rcbc176_S168_L001_R1_cut.fastq.gz"	2105	153
"17858-515rcbc177_S169_L001_R1_cut.fastq.gz"	4881	393
"17860-515rcbc179_S171_L001_R1_cut.fastq.gz"	4897	256
"17861-515rcbc180_S172_L001_R1_cut.fastq.gz"	3252	440
"17862-515rcbc181_S173_L001_R1_cut.fastq.gz"	4747	339
"17863-515rcbc182_S174_L001_R1_cut.fastq.gz"	3425	187
"17864-515rcbc183_S175_L001_R1_cut.fastq.gz"	10864	1149
